,title,img_path,hashtag,colors
15,마음에 들어!,./image/image_16.jpg,"['봄', '캐주얼', '리트리버클럽', '맨투맨/스웨트셔츠', '박스앤콕스', '벤 데이비스', '브리츠', '숄더백', '캔버스/단화', '태블릿 액세서리', '트러커 재킷', '트레이닝/조거 팬츠', '파나컬트', '파르티멘토', '헤드폰', '편안한', '로고플레이', '그래픽', '와이드핏', '핀턱', '모노톤']","[[ 26  25  30]
 [251 255 255]
 [109  80  62]]"
16,스타일리시해,./image/image_17.jpg,"['댄디', '봄', '니트/스웨터', '데님 팬츠', '레더/라이더스 재킷', '부츠', '수아레', '어거스트 하모니', '캐리어', '쿠어', '킨치', '팔찌', '스위스 밀리터리 캐리어', '데이트', '컬러포인트', '여행', '미니멀', '레더']","[[ 35  35  37]
 [109 109 111]
 [ 77 113  67]
 [228 119 124]
 [112  54  43]
 [254  67  86]]"
17,유니크한 조합,./image/image_18.jpg,"['봄', '스트릿', '데님 팬츠', '맨투맨/스웨트셔츠', '목걸이/펜던트', '백팩', '스타디움 재킷', '유쓰배쓰', '쿠나썬', '크리틱', '피지컬 에듀케이션 디파트먼트', '유니크', '힙합', '심볼', '컬러블록', '그래픽', '워싱', '카고']","[[ 40  41  46]
 [202 161   0]
 [ 90 128 167]
 [  0  87  55]
 [163 142 115]
 [145  94 161]
 [219  72  91]
 [152 194 131]
 [ 96 104   0]
 [103  48   9]
 [144 186  50]
 [ 98  80 200]
 [ 33  52 108]
 [255 202 255]
 [ 82   2  37]
 [255 186 130]
 [241 121 244]
 [255 126  53]
 [255 241 129]
 [ 76 149 255]
 [237  96 165]
 [234 244  23]
 [136  41 219]
 [158  23 141]]"
18,데일리 캐주얼,./image/image_19.jpg,"['봄', '캐주얼', '더 차일드후드 홈', '데님 팬츠', '맨투맨/스웨트셔츠', '백팩', '블렌도프', '블루종/MA-1', '어널러코드', '어피스오브케이크', '온프 아이덴티티', '캔버스/단화', '캡/야구 모자', '키뮤어', '캠퍼스', '그래픽', '로고플레이', '꾸안꾸', '워싱']","[[212 213 207]
 [ 39  39  39]
 [119 135 151]
 [ 56  68 116]]"
19,스프링 포멀 룩,./image/image_20.jpg,"['봄', '포멀', '구두', '긴소매 티셔츠', '브렌슨', '빈폴 액세서리', '슈트 팬츠/슬랙스', '스콜피온', '시그니처', '일꼬르소', '카디건', '쿼츠 아날로그', '토트백', '파스코로젠', '단정한', '출근룩', '모노톤', '핀턱', '와이드핏']","[[ 32  35  42]
 [105 105  95]]"
20,가볍게 완성,./image/image_21.jpg,"['골프', '봄', '골프가방', '골프화', '르꼬끄 골프', '말본 골프', '맨투맨/스웨트셔츠', '블루종/MA-1', '빈폴골프', '예일 골프', '일자 팬츠', '주네시 스포츠 클럽', '캡/야구 모자', '컬러블록', '심볼', '뉴트럴톤', '스포티']","[[235 233 221]
 [114 103  73]
 [ 24  41  31]
 [ 21  15  49]
 [125 123 147]]"
21,골프 홀릭,./image/image_22.jpg,"['골프', '봄', '골든베어', '골프가방', '골프화', '나일론/코치 재킷', '바스키아 브루클린', '일자 팬츠', '캡/야구 모자', '클리브랜드 골프', '스케쳐스 골프', '스포티', '컬러블록', '로고플레이', '스트라이프']","[[ 19  19  21]
 [ 99  99 101]
 [ 64  81 150]
 [ 81  83 206]]"
22,심플한 라운딩 룩,./image/image_23.jpg,"['골프', '봄', '골든베어', '골프가방', '골프화', '기타상의', '나일론/코치 재킷', '데상트 골프', '말본 골프', '일자 팬츠', '장갑', '투어골프', '폴로 랄프 로렌 골프', '심볼', '스포티']","[[ 45  48  65]
 [237 237 239]
 [151 149 162]
 [101 150 118]
 [  8  49   7]]"
23,골프 치는 날,./image/image_24.jpg,"['골프', '봄', '골든베어', '골프화', '데상트 골프', '맨투맨/스웨트셔츠', '아웃오브바운즈', '일자 팬츠', '장갑', '카디건', '캡/야구 모자', '헨리스튜어트', '뉴트럴톤', '스포티']","[[104  88  72]
 [195  71  71]
 [  0   1   0]
 [186 126  63]
 [ 59  60  90]
 [ 97  43   0]
 [196 252 215]
 [243 144 165]
 [151 213 252]]"
24,전문가 포스,./image/image_25.jpg,"['골프', '봄', '골프화', '나이키 골프', '나일론/코치 재킷', '보스턴/드럼/더플백', '어뉴골프', '언더아머골프', '엠엘비', '일자 팬츠', '장갑', '테일러메이드', '피케/카라 티셔츠', '혼가먼트', '모노톤', '심볼', '스포티']","[[ 25  24  29]
 [243 243 243]]"
25,모노톤으로 완성,./image/image_26.jpg,"['봄', '캐주얼', '러브이즈트루', '마뗑킴', '마르디 메크르디', '민소매 티셔츠', '숄더백', '오소이', '캔버스/단화', '트러커 재킷', '트레이닝/조거 팬츠', '포즈간츠', '셀럽템', '크롭', '모노톤', '메탈릭', '그래픽']",[[31 31 33]]
26,셋업 스타일링,./image/image_27.jpg,"['봄', '캐주얼', '나일론/코치 재킷', '닥터마틴', '메신저/크로스 백', '반소매 티셔츠', '부츠', '세릭', '스컬프터', '오아이오아이', '트레이닝/조거 팬츠', '셀럽템', '셋업코디', '레터링', '편안한']","[[ 53  54  46]
 [133 133 121]
 [149 161  77]
 [ 97  78   9]
 [178 106 117]
 [ 54  51 104]
 [179 131  20]
 [236 237 179]
 [ 61   0   0]]"
27,패셔니스타,./image/image_28.jpg,"['걸리시', '봄', '미니스커트', '민소매 티셔츠', '백팩', '부츠', '세릭', '시티브리즈', '쓰리투에이티', '아카이브앱크', '오아이오아이', '후드 집업', '셀럽템', '스티치', '컬러블록', '파스텔', '여친룩', '짧치', '플리츠']","[[ 25  25  25]
 [123 123 123]
 [137 117  46]
 [192 195 148]
 [ 28  57  11]]"
